Country,Depression
Afghanistan,4.13634710028
Albania,2.20841419824
Algeria,3.66109449605
American Samoa,2.93966806124
Andean Latin America,2.61038511713
Andorra,3.72953168612
Angola,4.16048419728
Antigua and Barbuda,2.55796305238
Argentina,3.66548827189999
Armenia,2.75458269616
Australasia,4.52468861623
Australia,4.62388098607
Austria,3.2609699942
Azerbaijan,2.59229296217
Bahamas,2.62663305543
Bahrain,3.87910515284
Bangladesh,4.11061130998999
Barbados,2.76332220362
Belarus,4.02222608312
Belgium,4.10918615476
Belize,2.83866680821
Benin,3.62989898914
Bermuda,2.8262925466
Bhutan,3.43933373821999
Bolivia,3.08590479324
Bosnia and Herzegovina,2.3196099561
Botswana,3.96812945655
Brazil,3.29736759001
Brunei,2.56198290667
Bulgaria,2.54314069114
Burkina Faso,3.6942535918
Burundi,3.72122770632
Cambodia,3.09494529697999
Cameroon,3.74564654244
Canada,3.98879207345
Cape Verde,4.08245123568
Caribbean,3.06505896576
Central African Republic,4.2117282286
Central Asia,2.96912001627
Central Europe,2.43871286018
"Central Europe, Eastern Europe, and Central Asia",3.24367448114
Central Latin America,2.69777887738999
Central Sub-Saharan Africa,4.01792465587
Chad,3.87483743869
Chile,4.05772314199999
China,3.31130589749999
Colombia,2.19615411587999
Comoros,3.33011431331
Congo,4.00829079152
Costa Rica,2.90478753344
Cote d'Ivoire,3.33798890428
Croatia,2.77984173234
Cuba,3.31913091377
Cyprus,3.32811079018
Czech Republic,2.67538746628
Democratic Republic of Congo,3.95687176402
Denmark,3.29188532482
Djibouti,3.60901012937
Dominica,2.62964873616
Dominican Republic,2.97852252642
East Asia,3.30201665068999
Eastern Europe,3.80243932621
Eastern Sub-Saharan Africa,3.82430490123999
Ecuador,2.97711725822
Egypt,3.23818185168
El Salvador,3.02588721657
England,4.11939204713
Equatorial Guinea,4.16708998551
Eritrea,3.86737670292999
Estonia,3.84885421123
Ethiopia,3.8162659691
Fiji,3.17189809853
Finland,4.79273560626
France,4.25380726277
Gabon,4.04902903406
Gambia,4.15851745775999
Georgia,2.79737866325
Germany,3.95986609184
Ghana,3.39664668903
Greece,4.18586369919
Greenland,6.23363488551
Grenada,2.77006562469
Guam,3.49285552428
Guatemala,3.21602516868
Guinea,3.56093291107
Guinea-Bissau,3.66543039362
Guyana,4.14172362073
Haiti,2.95778209292
High SDI,3.94200710409
High-income,4.11648589026
High-income Asia Pacific,3.2709899415
High-middle SDI,3.56849825679
Honduras,2.75230112491
Hungary,2.76524217857
Iceland,3.36166521167999
India,3.52985259667999
Indonesia,2.64273567514
Iran,5.11634462915
Iraq,3.89116288663
Ireland,4.25092099742
Israel,3.8322207094
Italy,3.46425611654999
Jamaica,2.59238455271
Japan,3.34156463103
Jordan,3.56360229131
Kazakhstan,3.51177487949
Kenya,3.50841859712
Kiribati,3.17275363249
Kuwait,3.63567862084
Kyrgyzstan,3.05367302757
Laos,2.91243136627
Latin America and Caribbean,2.94638421448
Latvia,3.4995706624
Lebanon,3.67673423071
Lesotho,5.6366607037
Liberia,3.80303819069999
Libya,3.80479105155999
Lithuania,4.14325442072
Low SDI,3.61699922965
Low-middle SDI,3.63161033398
Luxembourg,3.61771867848999
Macedonia,2.33238575269
Madagascar,3.70851421895
Malawi,3.4461370206
Malaysia,3.5208539166
Maldives,3.09996968641
Mali,3.00742001915
Malta,3.37413733179
Marshall Islands,3.10434739605
Mauritania,3.0941606819
Mauritius,3.47852434082
Mexico,2.7888065701
Micronesia (country),3.1346193916
Middle SDI,3.17782681918
Moldova,3.43254927896
Mongolia,3.52548751693999
Montenegro,2.55864017628
Morocco,5.41357318493
Mozambique,3.90179522627
Myanmar,2.30098157089
Namibia,3.45997036719
Nepal,3.60693852559
Netherlands,4.02685440344
New Zealand,3.97126536914999
Nicaragua,2.85408391428
Niger,3.46305528566
Nigeria,3.91769128668999
North Africa and Middle East,3.965409581
North America,4.75280156655
North Korea,3.09084604725
Northern Ireland,4.10562095072
Northern Mariana Islands,3.09705485069
Norway,3.77191036995
Oceania,3.16426493154
Oman,3.43395059643
Pakistan,3.33127964276999
Palestine,4.66507369588
Panama,2.67902533528
Papua New Guinea,3.16866077711
Paraguay,2.95883967432
Peru,2.2763210016
Philippines,2.76517600939
Poland,2.25047189275
Portugal,4.42146054723
Puerto Rico,2.72610806519
Qatar,3.48232719928
Romania,2.35917358572
Russia,3.70792495441
Rwanda,3.86944962793
Saint Lucia,2.83926837709
Saint Vincent and the Grenadines,2.85908939679
Samoa,3.03893806425
Sao Tome and Principe,3.13631373424
Saudi Arabia,3.53684672822
Scotland,4.16106667404
Senegal,3.37049720751
Serbia,2.57006816225999
Seychelles,2.88651359676
Sierra Leone,3.58150134848
Singapore,3.43827107312999
Slovakia,2.40199854722
Slovenia,2.86327766444
Solomon Islands,3.15306797974
Somalia,3.78474821766
South Africa,3.74587085056
South Asia,3.56644810165
South Korea,3.1656839582
South Sudan,3.69914742873
Southeast Asia,2.80723941635
"Southeast Asia, East Asia, and Oceania",3.18087347563
Southern Latin America,3.77220599624
Southern Sub-Saharan Africa,3.69272688399
Spain,3.53835929062
Sri Lanka,3.44332981583
Sub-Saharan Africa,3.7761317399
Sudan,3.78145064600999
Suriname,3.9735832253
Swaziland,4.06765436089
Sweden,4.48791099421
Switzerland,3.70805973731
Syria,3.58207279899
Taiwan,3.01654274716
Tajikistan,2.56396073374999
Tanzania,3.68574813954
Thailand,3.08505700381
Timor,3.13908658746999
Togo,3.65672466831
Tonga,2.91896953129999
Trinidad and Tobago,3.32993810661
Tropical Latin America,3.28751510608
Tunisia,3.91518851805
Turkey,3.71865782785
Turkmenistan,2.82308579805999
Uganda,4.91802815738
Ukraine,4.07191539327
United Arab Emirates,2.87742612715999
United Kingdom,4.11952399117999
United States,4.83561040879
United States Virgin Islands,2.92518197398
Uruguay,3.61757373192
Uzbekistan,2.88692362908
Vanuatu,3.12269497442
Venezuela,2.8145838578
Vietnam,2.87945006517
Wales,4.06928894939
Western Europe,3.92440370039
Western Sub-Saharan Africa,3.69965439105
World,3.44108733973
Yemen,4.01234641607
Zambia,3.64181116286
Zimbabwe,3.19278911933999
